average_rating,log_ratings_count,log_text_review_count,log_num_pages,book_age,is_box_set,popularity_class,author_type_group,author_type_solo
3.91,10.470958125008071,7.223295679562314,5.8888779583328805,5.0,0.0,1.0,0.0,1.0
3.99,5.049856007249537,3.091042453358316,5.814130531825066,6.0,0.0,2.0,0.0,1.0
4.04,10.549254824049264,7.1785454837637,5.262690188904886,6.0,0.0,1.0,0.0,0.0
4.5,3.295836866004329,1.6094379124341003,4.836281906951478,6.0,0.0,2.0,0.0,0.0
3.72,10.93617369108807,8.583355393669907,5.641907070938114,6.0,0.0,1.0,0.0,1.0
3.83,7.697121317282625,5.389071729816501,5.262690188904886,6.0,0.0,1.0,0.0,0.0
3.43,3.1780538303479458,1.0986122886681098,5.41610040220442,6.0,0.0,2.0,0.0,1.0
4.27,8.226305988015508,5.648974238161206,5.54907608489522,7.0,0.0,1.0,0.0,0.0
3.74,3.5553480614894135,1.0986122886681098,4.356708826689592,7.0,0.0,2.0,0.0,0.0
4.18,2.302585092994046,1.0986122886681098,5.429345628954441,7.0,0.0,2.0,0.0,1.0
4.02,2.8903717578961645,0.6931471805599453,5.746203190540153,7.0,0.0,2.0,0.0,1.0
3.86,6.654152520183219,3.784189633918261,5.262690188904886,7.0,0.0,0.0,0.0,0.0
4.24,8.180320874773685,4.2626798770413155,6.695798917058491,8.0,0.0,1.0,0.0,1.0
3.84,3.367295829986474,1.0986122886681098,3.9512437185814275,8.0,0.0,2.0,0.0,1.0
3.79,4.955827057601261,1.791759469228055,5.049856007249537,8.0,0.0,2.0,0.0,1.0
4.21,4.02535169073515,1.9459101490553132,4.61512051684126,8.0,0.0,2.0,0.0,1.0
3.88,7.512071245835466,4.454347296253507,5.176149732573829,8.0,0.0,1.0,0.0,1.0
3.97,9.46815584482167,6.796823718274855,5.998936561946683,9.0,0.0,1.0,0.0,1.0
3.87,8.100161446936607,5.342334251964811,5.081404364984463,9.0,0.0,1.0,0.0,1.0
